,Industrials,Consumer Discretionary,Finance,Technology,Real Estate,Health Care,Miscellaneous,Telecommunications,Utilities,Consumer Staples,Energy,Basic Materials
375,10457.311430454254,3042021573.5160985,17462.003907322884,8388.668615818024,5913.224211335182,82516.3014702797,299.670006275177,655.4740117788315,2843.0060815811157,2923.964891910553,3459.9861756563187,495.22027480602264
376,10685.802617669106,3042021677.49683,17720.77421092987,8510.199828147888,5971.362460613251,78703.42480868101,304.35999155044556,663.2345805168152,2896.2183825969696,3022.4496173858643,3484.857108950615,506.2689208984375
377,10747.160293579102,3042021608.842615,17666.271715044975,8499.22282731533,5995.749061822891,79890.65360367298,305.0699977874756,666.5049008131027,2893.6663479804993,3007.3556485176086,3544.400091767311,514.8991068601608
378,10552.536128163338,2916021662.832553,17436.544086933136,8372.120561361313,5984.618111491203,80153.49483978748,301.1299991607666,658.63829433918,2901.3209733963013,3007.0793945789337,3433.3270686864853,510.1048744916916
379,10600.832764267921,2808021630.4514446,17500.823071956635,8365.332406044006,5981.474015235901,80937.14552330971,306.1099934577942,657.8641928434372,2900.6215002536774,3014.0578088760376,3427.980464577675,522.1261744499207
380,10648.980366587639,2934021818.999386,17536.329416513443,8425.751241207123,5936.708196640015,83240.70566761494,304.88999223709106,656.8747044801712,2858.095484495163,3007.240451812744,3401.846871972084,514.2947807312012
381,10894.13227558136,2682021968.1419,17805.474375605583,8587.053478717804,6044.732888460159,84234.49548655748,308.6700048446655,669.1839433908463,2888.955339193344,3046.4637920856476,3465.1737637519836,528.6747254133224
382,10963.056955814362,2790022417.381695,17908.01432645321,8644.85357093811,6093.736357450485,82969.86969965696,308.3799977302551,675.4613754749298,2888.8351221084595,3047.2679059505463,3424.908266186714,533.2480082511902
383,11096.254628062248,2700022461.6169763,18104.32176411152,8748.166918635368,6106.675824642181,83059.47199112177,308.1800012588501,680.7520169019699,2871.3176815509796,3047.058956384659,3590.7099224328995,532.0028142929077
384,11086.237716913223,2916022402.5077486,18077.72938978672,8730.575991868973,6110.60999584198,80353.60550892353,305.67999029159546,680.662721991539,2882.704015493393,3052.5833332538605,3430.2943345308304,541.1269332170486
385,11173.449929118156,2826022184.607054,18170.705880522728,8763.5586810112,6047.056569695473,79345.71915328503,306.880006313324,681.9025324583054,2874.42670750618,3050.7072100639343,3400.661607980728,542.3026107549667
386,11275.81183874607,2772022304.4006796,18197.506405591965,8761.949518442154,6057.319703102112,80369.91933059692,308.2000021934509,684.8058043718338,2878.1524500846863,3057.0582008361816,3389.6232970952988,542.7661865949631
387,11240.870815992355,2772022414.5525584,18204.530066609383,8781.808542728424,6088.685905456543,81475.46073436737,308.98999977111816,683.6476014852524,2878.3381021022797,3058.3388657569885,3393.5297840833664,541.4181690216064
388,11192.407363176346,2952022330.416379,18189.275935292244,8774.07241332531,6132.503226280212,78122.95484960079,307.6799988746643,676.9610641002655,2873.0175075531006,3049.1031560897827,3340.6997987031937,533.4266505241394
